assetPath,guid,category,domains,excludedByConfig,dirtyWorkingTree,reasons
Assets/Enviro 3 - Sky and Weather/Textures/enviro_snow_particles.png,e3b1ddad603b54246904e7544f9e3f13,Base Color / Albedo,Unassigned,True,False,
Assets/Enviro 3 - Sky and Weather/Textures/Enviro_Sun_Tex.png,c95bed5306e94f24ba5802d841607ac7,Unknown / Manual Review,Unassigned,True,False,No authoritative Unity/material classification was found.
Assets/Enviro 3 - Sky and Weather/Textures/tex_enviro_aurora_colorshift.tga,f99b7b1866c1ab3489d848a4ef3dd81b,Unknown / Manual Review,Unassigned,True,False,No authoritative Unity/material classification was found.
Assets/Enviro 3 - Sky and Weather/Textures/tex_enviro_aurora_layer_1.tga,3316634c3fa8231429eb988934de236c,Unknown / Manual Review,Unassigned,True,False,No authoritative Unity/material classification was found.
Assets/Enviro 3 - Sky and Weather/Textures/tex_enviro_aurora_layer_2.tga,25bf6a8e18b4471499e961d75d1777c2,Unknown / Manual Review,Unassigned,True,False,No authoritative Unity/material classification was found.
Assets/Enviro 3 - Sky and Weather/Textures/tex_enviro_blueNoise.png,3f714f8f28ab17e499e2e6c690af70cc,Unknown / Manual Review,Unassigned,True,False,No authoritative Unity/material classification was found.
Assets/Enviro 3 - Sky and Weather/Textures/tex_enviro_blueNoise2.png,d2e9e18343f99f54fbe0dc30a848ed52,Unknown / Manual Review,Unassigned,True,False,No authoritative Unity/material classification was found.
Assets/Enviro 3 - Sky and Weather/Textures/tex_enviro_cirrus.png,75c66597a85001644b2de40147b8d196,Unknown / Manual Review,Unassigned,True,False,No authoritative Unity/material classification was found.
Assets/Enviro 3 - Sky and Weather/Textures/tex_enviro_detail.png,6d1bd41afa691054c8a8f14b15ec608a,Unknown / Manual Review,Unassigned,True,False,No authoritative Unity/material classification was found.
Assets/Enviro 3 - Sky and Weather/Textures/tex_enviro_detail_2.png,b7acf882b3b0d6c4a9d1a04c10fe146a,Unknown / Manual Review,Unassigned,True,False,No authoritative Unity/material classification was found.
Assets/Enviro 3 - Sky and Weather/Textures/tex_enviro_dithering.png,711e788cbc742bb439b3c7cad60651e3,Unknown / Manual Review,Unassigned,True,False,No authoritative Unity/material classification was found.
Assets/Enviro 3 - Sky and Weather/Textures/tex_enviro_flat_base.png,d178a8cc601a00f48914c0bfd42c77d5,Unknown / Manual Review,Unassigned,True,False,No authoritative Unity/material classification was found.
Assets/Enviro 3 - Sky and Weather/Textures/tex_enviro_flat_detail.png,2e0e351a1a0d49545a3dd0264e7ac2d9,Unknown / Manual Review,Unassigned,True,False,No authoritative Unity/material classification was found.
Assets/Enviro 3 - Sky and Weather/Textures/tex_enviro_moon_bright.png,cd30c1b1dc2be97419c82bfd1cb2180c,Unknown / Manual Review,Unassigned,True,False,No authoritative Unity/material classification was found.
Assets/Enviro 3 - Sky and Weather/Textures/tex_enviro_moon_standard.png,c6fd9f694390e0245b6dca5812065950,Unknown / Manual Review,Unassigned,True,False,No authoritative Unity/material classification was found.
Assets/Enviro 3 - Sky and Weather/Textures/tex_enviro_moonGlowNew.png,6838e0810da4e49488b5d9a6ee76eb07,Unknown / Manual Review,Unassigned,True,False,No authoritative Unity/material classification was found.
Assets/Enviro 3 - Sky and Weather/Textures/tex_enviro_noise.png,ff436455107d4214bb99ee62c6ad431f,Normal Map,Unassigned,True,False,
Assets/Game/Bootstrap/Bootstrap/ReflectionProbe-0.exr,aaa4a37f68350f74cbb180789a150b90,Cubemap,Unassigned,True,True,Matched manual-review pattern: *ReflectionProbe* | UnidentifiedImageError: cannot identify image file 'E:\\GAYmDev_Studio\\MySummerCar_Remake\\Assets\\Game\\Bootstrap\\Bootstrap\\ReflectionProbe-0.exr' | Asset or .meta has a concurrent working-tree change.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/dagestan-6-4.jpg,ade8cea8e9e582347bcaee4d38c3a355,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/dagestan-6.jpg,4f6879cc6875eb6459673dcb329f3319,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_04bd6c8f456d54944890594e5feeccfe_linear.png,ec384f125d819dd45bb4f9a1fe008821,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_087b632038ddca14ba81c7a13368671f_color.png,3eef5b1b766fbff419bfe279d6d88860,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_176b42ef60a3a6b4bb2ece83adeccd95_color.png,6e3f8d88c30af5347b68844d7c86bf11,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_185f797705cd07a48bbeec0a7ab9e36d_color.png,2216fee455eba8846835774b233db604,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_1d71148a1f7e1f348aafece1b80d9e2d_color.png,d7881770a5da8db47a76e24825080fa8,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_22a9191840b568c418577bef2b8316f9_color.png,ab58cb9795e44a942b3c04fc910f5b4a,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_2b067fbce6ba1434f90da2eef0c092d9_color.png,c7abe24127778d34987dc233a419f3be,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_2ee72860e09082341849f554bc6fd4ab_linear.png,8f14c80a4cede8a458f4753b977343a6,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_3ff8542217b639a47962a3969df1555c_color.png,ad5ab5899e15204469d60cd4bf09d145,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
